"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"2416","2","EVEN 2025","47","0","3","End Semester Exam","2","ME231106","0","141","2026-04-28",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2417","4","EVEN 2025","47","0","3","End Semester Exam","2","ME231302","1","64","2026-05-15","A","2","12:30:00","14:30:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2418","4","EVEN 2025","47","0","3","End Semester Exam","2","ME231302","1","61","2026-05-15","B","3","15:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2419","1","EVEN 2025","47","0","3","End Semester Exam","2","ME231401","0","39","2026-04-23",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2420","1","EVEN 2025","47","0","3","End Semester Exam","2","ME231402","0","12","2026-04-27",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2421","2","EVEN 2025","47","0","3","End Semester Exam","2","ME231404","0","132","2026-04-24",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2422","2","EVEN 2025","47","0","3","End Semester Exam","2","ME231512","0","124","2026-05-06",,"2","10:00:00","14:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2423","3","EVEN 2025","47","0","3","End Semester Exam","2","ME232110","1","5","2026-05-16","A","3","15:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2424","3","EVEN 2025","47","0","3","End Semester Exam","2","ME232110","1","2","2026-05-16","B","3","15:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2425","3","EVEN 2025","47","0","3","End Semester Exam","2","ME232111","0","46","2026-05-12",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2426","3","EVEN 2025","47","0","3","End Semester Exam","2","ME232112","0","34","2026-05-13",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2427","3","EVEN 2025","47","0","3","End Semester Exam","2","ME232113","0","71","2026-04-30",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2428","4","EVEN 2025","47","0","3","End Semester Exam","2","ME232114","0","139","2026-04-27",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2429","4","EVEN 2025","47","0","3","End Semester Exam","2","ME232115","0","140","2026-05-07",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2430","4","EVEN 2025","47","0","3","End Semester Exam","2","ME232116","0","154","2026-05-05",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2431","4","EVEN 2025","47","0","3","End Semester Exam","2","ME232118","0","135","2026-04-29",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2432","4","EVEN 2025","47","0","3","End Semester Exam","2","ME232207","0","140","2026-05-11",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2433","5","EVEN 2025","47","0","3","End Semester Exam","2","ME232402","0","2","2026-04-23",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2434","3","EVEN 2025","47","0","3","End Semester Exam","2","ME232503","0","6","2026-05-08",,"4","14:00:00","18:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2435","5","EVEN 2025","47","0","3","End Semester Exam","2","ME233106","0","2","2026-05-11",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2436","5","EVEN 2025","47","0","3","End Semester Exam","2","ME233107","0","3","2026-05-07",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
