"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"1884","4","EVEN 2025","47","0","1","Progressive Test 1","11","MK232118","0","37","2026-01-28",,"1","10:30:00","12:00:00","2026-01-13 04:58:59","GPNCOE","117.254.196.95"
"1885","4","EVEN 2025","47","0","1","Progressive Test 1","11","MK232120","0","37","2026-01-27",,"1","10:30:00","12:00:00","2026-01-13 04:58:59","GPNCOE","117.254.196.95"
"1886","4","EVEN 2025","47","0","1","Progressive Test 1","11","MK232121","0","37","2026-01-27",,"2","14:30:00","16:00:00","2026-01-13 04:58:59","GPNCOE","117.254.196.95"
"1887","4","EVEN 2025","47","0","1","Progressive Test 1","11","MK233407","0","37","2026-01-28",,"2","14:30:00","16:00:00","2026-01-13 04:58:59","GPNCOE","117.254.196.95"
"1888","2","EVEN 2025","47","0","1","Progressive Test 1","3","PO231101","1","56","2026-01-29","A","5","12:30:00","13:15:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
"1889","2","EVEN 2025","47","0","1","Progressive Test 1","3","PO231106","0","56","2026-01-27",,"2","14:30:00","16:00:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
"1890","2","EVEN 2025","47","0","1","Progressive Test 1","3","PO231120","0","56","2026-01-28",,"2","14:30:00","16:00:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
"1891","2","EVEN 2025","47","0","1","Progressive Test 1","3","PO231302","0","56","2026-01-29",,"2","14:30:00","16:00:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
"1892","2","EVEN 2025","47","0","1","Progressive Test 1","3","PO231404","0","56","2026-01-28",,"1","10:30:00","12:00:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
"1893","4","EVEN 2025","47","0","1","Progressive Test 1","3","PO232127","0","53","2026-01-27",,"1","10:30:00","12:00:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
"1894","4","EVEN 2025","47","0","1","Progressive Test 1","3","PO232128","0","53","2026-01-27",,"2","14:30:00","16:00:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
"1895","4","EVEN 2025","47","0","1","Progressive Test 1","3","PO232129","0","53","2026-01-28",,"2","14:30:00","16:00:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
"1896","4","EVEN 2025","47","0","1","Progressive Test 1","3","PO232210","0","53","2026-01-29",,"1","10:30:00","12:00:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
"1897","4","EVEN 2025","47","0","1","Progressive Test 1","3","PO232402","0","53","2026-01-28",,"1","10:30:00","12:00:00","2026-01-13 05:00:21","GPNCOE","117.254.196.95"
